Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
166.1_ ,0.0_ ,163.3_ ,176.5_ ,4.5_ ,1058.6_ ,780.1_ ,56_ ,28.63_ 
166.1_ ,0.0_ ,163.3_ ,176.5_ ,4.5_ ,1058.6_ ,780.1_ ,100_ ,33.54_ 
167.9_ ,42.1_ ,163.8_ ,121.8_ ,5.7_ ,1058.7_ ,780.1_ ,3_ ,7.75_ 
167.9_ ,42.1_ ,163.8_ ,121.8_ ,5.7_ ,1058.7_ ,780.1_ ,14_ ,17.82_ 
167.9_ ,42.1_ ,163.8_ ,121.8_ ,5.7_ ,1058.7_ ,780.1_ ,28_ ,24.24_ 
167.9_ ,42.1_ ,163.8_ ,121.8_ ,5.7_ ,1058.7_ ,780.1_ ,56_ ,32.85_ 
167.9_ ,42.1_ ,163.8_ ,121.8_ ,5.7_ ,1058.7_ ,780.1_ ,100_ ,39.23_ 
213.7_ ,98.0_ ,24.5_ ,181.7_ ,6.9_ ,1065.8_ ,785.4_ ,3_ ,18.00_ 
213.7_ ,98.0_ ,24.5_ ,181.7_ ,6.9_ ,1065.8_ ,785.4_ ,14_ ,30.39_ 
213.7_ ,98.0_ ,24.5_ ,181.7_ ,6.9_ ,1065.8_ ,785.4_ ,28_ ,45.71_ 
213.7_ ,98.0_ ,24.5_ ,181.7_ ,6.9_ ,1065.8_ ,785.4_ ,56_ ,50.77_ 
213.7_ ,98.0_ ,24.5_ ,181.7_ ,6.9_ ,1065.8_ ,785.4_ ,100_ ,53.90_ 
213.8_ ,98.1_ ,24.5_ ,181.7_ ,6.7_ ,1066.0_ ,785.5_ ,3_ ,13.18_ 
213.8_ ,98.1_ ,24.5_ ,181.7_ ,6.7_ ,1066.0_ ,785.5_ ,14_ ,17.84_ 
213.8_ ,98.1_ ,24.5_ ,181.7_ ,6.7_ ,1066.0_ ,785.5_ ,28_ ,40.23_ 
213.8_ ,98.1_ ,24.5_ ,181.7_ ,6.7_ ,1066.0_ ,785.5_ ,56_ ,47.13_ 
213.8_ ,98.1_ ,24.5_ ,181.7_ ,6.7_ ,1066.0_ ,785.5_ ,100_ ,49.97_ 
229.7_ ,0.0_ ,118.2_ ,195.2_ ,6.1_ ,1028.1_ ,757.6_ ,3_ ,13.36_ 
229.7_ ,0.0_ ,118.2_ ,195.2_ ,6.1_ ,1028.1_ ,757.6_ ,14_ ,22.32_ 
229.7_ ,0.0_ ,118.2_ ,195.2_ ,6.1_ ,1028.1_ ,757.6_ ,28_ ,24.54_ 
229.7_ ,0.0_ ,118.2_ ,195.2_ ,6.1_ ,1028.1_ ,757.6_ ,56_ ,31.35_ 
229.7_ ,0.0_ ,118.2_ ,195.2_ ,6.1_ ,1028.1_ ,757.6_ ,100_ ,40.86_ 
238.1_ ,0.0_ ,94.1_ ,186.7_ ,7.0_ ,949.9_ ,847.0_ ,3_ ,19.93_ 
238.1_ ,0.0_ ,94.1_ ,186.7_ ,7.0_ ,949.9_ ,847.0_ ,14_ ,25.69_ 
238.1_ ,0.0_ ,94.1_ ,186.7_ ,7.0_ ,949.9_ ,847.0_ ,28_ ,30.23_ 
238.1_ ,0.0_ ,94.1_ ,186.7_ ,7.0_ ,949.9_ ,847.0_ ,56_ ,39.59_ 
238.1_ ,0.0_ ,94.1_ ,186.7_ ,7.0_ ,949.9_ ,847.0_ ,100_ ,44.30_ 
250.0_ ,0.0_ ,95.7_ ,187.4_ ,5.5_ ,956.9_ ,861.2_ ,3_ ,13.82_ 
250.0_ ,0.0_ ,95.7_ ,187.4_ ,5.5_ ,956.9_ ,861.2_ ,14_ ,24.92_ 
250.0_ ,0.0_ ,95.7_ ,187.4_ ,5.5_ ,956.9_ ,861.2_ ,28_ ,29.22_ 
250.0_ ,0.0_ ,95.7_ ,187.4_ ,5.5_ ,956.9_ ,861.2_ ,56_ ,38.33_ 
250.0_ ,0.0_ ,95.7_ ,187.4_ ,5.5_ ,956.9_ ,861.2_ ,100_ ,42.35_ 
212.5_ ,0.0_ ,100.4_ ,159.3_ ,8.7_ ,1007.8_ ,903.6_ ,3_ ,13.54_ 
212.5_ ,0.0_ ,100.4_ ,159.3_ ,8.7_ ,1007.8_ ,903.6_ ,14_ ,26.31_ 
212.5_ ,0.0_ ,100.4_ ,159.3_ ,8.7_ ,1007.8_ ,903.6_ ,28_ ,31.64_ 
212.5_ ,0.0_ ,100.4_ ,159.3_ ,8.7_ ,1007.8_ ,903.6_ ,56_ ,42.55_ 
212.5_ ,0.0_ ,100.4_ ,159.3_ ,8.7_ ,1007.8_ ,903.6_ ,100_ ,42.92_ 
212.6_ ,0.0_ ,100.4_ ,159.3_ ,10.4_ ,1003.8_ ,903.8_ ,3_ ,13.33_ 
212.6_ ,0.0_ ,100.4_ ,159.3_ ,10.4_ ,1003.8_ ,903.8_ ,14_ ,25.37_ 
212.6_ ,0.0_ ,100.4_ ,159.3_ ,10.4_ ,1003.8_ ,903.8_ ,28_ ,37.40_ 
212.6_ ,0.0_ ,100.4_ ,159.3_ ,10.4_ ,1003.8_ ,903.8_ ,56_ ,44.40_ 
212.6_ ,0.0_ ,100.4_ ,159.3_ ,10.4_ ,1003.8_ ,903.8_ ,100_ ,47.74_ 
212.0_ ,0.0_ ,124.8_ ,159.0_ ,7.8_ ,1085.4_ ,799.5_ ,3_ ,19.52_ 
212.0_ ,0.0_ ,124.8_ ,159.0_ ,7.8_ ,1085.4_ ,799.5_ ,14_ ,31.35_ 
212.0_ ,0.0_ ,124.8_ ,159.0_ ,7.8_ ,1085.4_ ,799.5_ ,28_ ,38.50_ 
212.0_ ,0.0_ ,124.8_ ,159.0_ ,7.8_ ,1085.4_ ,799.5_ ,56_ ,45.08_ 
212.0_ ,0.0_ ,124.8_ ,159.0_ ,7.8_ ,1085.4_ ,799.5_ ,100_ ,47.82_ 
231.8_ ,0.0_ ,121.6_ ,174.0_ ,6.7_ ,1056.4_ ,778.5_ ,3_ ,15.44_ 
231.8_ ,0.0_ ,121.6_ ,174.0_ ,6.7_ ,1056.4_ ,778.5_ ,14_ ,26.77_ 
231.8_ ,0.0_ ,121.6_ ,174.0_ ,6.7_ ,1056.4_ ,778.5_ ,28_ ,33.73_ 
231.8_ ,0.0_ ,121.6_ ,174.0_ ,6.7_ ,1056.4_ ,778.5_ ,56_ ,42.70_ 
231.8_ ,0.0_ ,121.6_ ,174.0_ ,6.7_ ,1056.4_ ,778.5_ ,100_ ,45.84_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,5.8_ ,1028.4_ ,757.7_ ,3_ ,17.22_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,5.8_ ,1028.4_ ,757.7_ ,14_ ,29.93_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,5.8_ ,1028.4_ ,757.7_ ,28_ ,29.65_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,5.8_ ,1028.4_ ,757.7_ ,56_ ,36.97_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,5.8_ ,1028.4_ ,757.7_ ,100_ ,43.58_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,6.3_ ,1028.4_ ,757.7_ ,3_ ,13.12_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,6.3_ ,1028.4_ ,757.7_ ,14_ ,24.43_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,6.3_ ,1028.4_ ,757.7_ ,28_ ,32.66_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,6.3_ ,1028.4_ ,757.7_ ,56_ ,36.64_ 
251.4_ ,0.0_ ,118.3_ ,188.4_ ,6.3_ ,1028.4_ ,757.7_ ,100_ ,44.21_ 
181.4_ ,0.0_ ,167.0_ ,169.6_ ,7.6_ ,1055.6_ ,777.8_ ,3_ ,13.62_ 
181.4_ ,0.0_ ,167.0_ ,169.6_ ,7.6_ ,1055.6_ ,777.8_ ,14_ ,21.60_ 
181.4_ ,0.0_ ,167.0_ ,169.6_ ,7.6_ ,1055.6_ ,777.8_ ,28_ ,27.77_ 
181.4_ ,0.0_ ,167.0_ ,169.6_ ,7.6_ ,1055.6_ ,777.8_ ,56_ ,35.57_ 
181.4_ ,0.0_ ,167.0_ ,169.6_ ,7.6_ ,1055.6_ ,777.8_ ,100_ ,45.37_ 
182.0_ ,45.2_ ,122.0_ ,170.2_ ,8.2_ ,1059.4_ ,780.6_ ,3_ ,7.32_ 
182.0_ ,45.2_ ,122.0_ ,170.2_ ,8.2_ ,1059.4_ ,780.6_ ,14_ ,21.50_ 
182.0_ ,45.2_ ,122.0_ ,170.2_ ,8.2_ ,1059.4_ ,780.6_ ,28_ ,31.27_ 
182.0_ ,45.2_ ,122.0_ ,170.2_ ,8.2_ ,1059.4_ ,780.6_ ,56_ ,43.50_ 
182.0_ ,45.2_ ,122.0_ ,170.2_ ,8.2_ ,1059.4_ ,780.6_ ,100_ ,48.67_ 
168.9_ ,42.2_ ,124.2_ ,158.3_ ,10.8_ ,1080.8_ ,796.1_ ,3_ ,7.40_ 
168.9_ ,42.2_ ,124.2_ ,158.3_ ,10.8_ ,1080.8_ ,796.1_ ,14_ ,23.51_ 
168.9_ ,42.2_ ,124.2_ ,158.3_ ,10.8_ ,1080.8_ ,796.1_ ,28_ ,31.12_ 
168.9_ ,42.2_ ,124.2_ ,158.3_ ,10.8_ ,1080.8_ ,796.1_ ,56_ ,39.15_ 
168.9_ ,42.2_ ,124.2_ ,158.3_ ,10.8_ ,1080.8_ ,796.1_ ,100_ ,48.15_ 
290.4_ ,0.0_ ,96.2_ ,168.1_ ,9.4_ ,961.2_ ,865.0_ ,3_ ,22.50_ 
290.4_ ,0.0_ ,96.2_ ,168.1_ ,9.4_ ,961.2_ ,865.0_ ,14_ ,34.67_ 
290.4_ ,0.0_ ,96.2_ ,168.1_ ,9.4_ ,961.2_ ,865.0_ ,28_ ,34.74_ 
290.4_ ,0.0_ ,96.2_ ,168.1_ ,9.4_ ,961.2_ ,865.0_ ,56_ ,45.08_ 
290.4_ ,0.0_ ,96.2_ ,168.1_ ,9.4_ ,961.2_ ,865.0_ ,100_ ,48.97_ 
277.1_ ,0.0_ ,97.4_ ,160.6_ ,11.8_ ,973.9_ ,875.6_ ,3_ ,23.14_ 
277.1_ ,0.0_ ,97.4_ ,160.6_ ,11.8_ ,973.9_ ,875.6_ ,14_ ,41.89_ 
277.1_ ,0.0_ ,97.4_ ,160.6_ ,11.8_ ,973.9_ ,875.6_ ,28_ ,48.28_ 
277.1_ ,0.0_ ,97.4_ ,160.6_ ,11.8_ ,973.9_ ,875.6_ ,56_ ,51.04_ 
277.1_ ,0.0_ ,97.4_ ,160.6_ ,11.8_ ,973.9_ ,875.6_ ,100_ ,55.64_ 
295.7_ ,0.0_ ,95.6_ ,171.5_ ,8.9_ ,955.1_ ,859.2_ ,3_ ,22.95_ 
295.7_ ,0.0_ ,95.6_ ,171.5_ ,8.9_ ,955.1_ ,859.2_ ,14_ ,35.23_ 
295.7_ ,0.0_ ,95.6_ ,171.5_ ,8.9_ ,955.1_ ,859.2_ ,28_ ,39.94_ 
295.7_ ,0.0_ ,95.6_ ,171.5_ ,8.9_ ,955.1_ ,859.2_ ,56_ ,48.72_ 
295.7_ ,0.0_ ,95.6_ ,171.5_ ,8.9_ ,955.1_ ,859.2_ ,100_ ,52.04_ 
251.8_ ,0.0_ ,99.9_ ,146.1_ ,12.3_ ,1006.0_ ,899.8_ ,3_ ,21.02_ 
251.8_ ,0.0_ ,99.9_ ,146.1_ ,12.3_ ,1006.0_ ,899.8_ ,14_ ,33.36_ 
251.8_ ,0.0_ ,99.9_ ,146.1_ ,12.3_ ,1006.0_ ,899.8_ ,28_ ,33.94_ 
251.8_ ,0.0_ ,99.9_ ,146.1_ ,12.3_ ,1006.0_ ,899.8_ ,56_ ,44.14_ 
251.8_ ,0.0_ ,99.9_ ,146.1_ ,12.3_ ,1006.0_ ,899.8_ ,100_ ,45.37_ 
249.1_ ,0.0_ ,98.8_ ,158.1_ ,12.8_ ,987.8_ ,889.0_ ,3_ ,15.36_ 
249.1_ ,0.0_ ,98.8_ ,158.1_ ,12.8_ ,987.8_ ,889.0_ ,14_ ,28.68_ 
249.1_ ,0.0_ ,98.8_ ,158.1_ ,12.8_ ,987.8_ ,889.0_ ,28_ ,30.85_ 
249.1_ ,0.0_ ,98.8_ ,158.1_ ,12.8_ ,987.8_ ,889.0_ ,56_ ,42.03_ 
249.1_ ,0.0_ ,98.8_ ,158.1_ ,12.8_ ,987.8_ ,889.0_ ,100_ ,51.06_ 
252.3_ ,0.0_ ,98.8_ ,146.2_ ,14.2_ ,987.8_ ,889.0_ ,3_ ,21.78_ 
252.3_ ,0.0_ ,98.8_ ,146.2_ ,14.2_ ,987.8_ ,889.0_ ,14_ ,42.29_ 
252.3_ ,0.0_ ,98.8_ ,146.2_ ,14.2_ ,987.8_ ,889.0_ ,28_ ,50.60_ 
252.3_ ,0.0_ ,98.8_ ,146.2_ ,14.2_ ,987.8_ ,889.0_ ,56_ ,55.83_ 
252.3_ ,0.0_ ,98.8_ ,146.2_ ,14.2_ ,987.8_ ,889.0_ ,100_ ,60.95_ 
246.8_ ,0.0_ ,125.1_ ,143.3_ ,12.0_ ,1086.8_ ,800.9_ ,3_ ,23.52_ 
246.8_ ,0.0_ ,125.1_ ,143.3_ ,12.0_ ,1086.8_ ,800.9_ ,14_ ,42.22_ 
246.8_ ,0.0_ ,125.1_ ,143.3_ ,12.0_ ,1086.8_ ,800.9_ ,28_ ,52.50_ 
246.8_ ,0.0_ ,125.1_ ,143.3_ ,12.0_ ,1086.8_ ,800.9_ ,56_ ,60.32_ 
246.8_ ,0.0_ ,125.1_ ,143.3_ ,12.0_ ,1086.8_ ,800.9_ ,100_ ,66.42_ 
275.1_ ,0.0_ ,121.3_ ,159.5_ ,9.9_ ,1053.6_ ,777.5_ ,3_ ,23.80_ 
275.1_ ,0.0_ ,121.3_ ,159.5_ ,9.9_ ,1053.6_ ,777.5_ ,14_ ,38.77_ 
275.1_ ,0.0_ ,121.3_ ,159.5_ ,9.9_ ,1053.6_ ,777.5_ ,28_ ,51.33_ 
275.1_ ,0.0_ ,121.3_ ,159.5_ ,9.9_ ,1053.6_ ,777.5_ ,56_ ,56.85_ 
275.1_ ,0.0_ ,121.3_ ,159.5_ ,9.9_ ,1053.6_ ,777.5_ ,100_ ,58.61_ 
297.2_ ,0.0_ ,117.5_ ,174.8_ ,9.5_ ,1022.8_ ,753.5_ ,3_ ,21.91_ 
297.2_ ,0.0_ ,117.5_ ,174.8_ ,9.5_ ,1022.8_ ,753.5_ ,14_ ,36.99_ 
297.2_ ,0.0_ ,117.5_ ,174.8_ ,9.5_ ,1022.8_ ,753.5_ ,28_ ,47.40_ 
297.2_ ,0.0_ ,117.5_ ,174.8_ ,9.5_ ,1022.8_ ,753.5_ ,56_ ,51.96_ 
297.2_ ,0.0_ ,117.5_ ,174.8_ ,9.5_ ,1022.8_ ,753.5_ ,100_ ,56.74_ 
213.7_ ,0.0_ ,174.7_ ,154.8_ ,10.2_ ,1053.5_ ,776.4_ ,3_ ,17.57_ 
213.7_ ,0.0_ ,174.7_ ,154.8_ ,10.2_ ,1053.5_ ,776.4_ ,14_ ,33.73_ 
213.7_ ,0.0_ ,174.7_ ,154.8_ ,10.2_ ,1053.5_ ,776.4_ ,28_ ,40.15_ 
213.7_ ,0.0_ ,174.7_ ,154.8_ ,10.2_ ,1053.5_ ,776.4_ ,56_ ,46.64_ 
213.7_ ,0.0_ ,174.7_ ,154.8_ ,10.2_ ,1053.5_ ,776.4_ ,100_ ,50.08_ 
213.5_ ,0.0_ ,174.2_ ,154.6_ ,11.7_ ,1052.3_ ,775.5_ ,3_ ,17.37_ 
213.5_ ,0.0_ ,174.2_ ,154.6_ ,11.7_ ,1052.3_ ,775.5_ ,14_ ,33.70_ 
213.5_ ,0.0_ ,174.2_ ,154.6_ ,11.7_ ,1052.3_ ,775.5_ ,28_ ,45.94_ 
213.5_ ,0.0_ ,174.2_ ,154.6_ ,11.7_ ,1052.3_ ,775.5_ ,56_ ,51.43_ 
213.5_ ,0.0_ ,174.2_ ,154.6_ ,11.7_ ,1052.3_ ,775.5_ ,100_ ,59.30_ 
277.2_ ,97.8_ ,24.5_ ,160.7_ ,11.2_ ,1061.7_ ,782.5_ ,3_ ,30.45_ 
277.2_ ,97.8_ ,24.5_ ,160.7_ ,11.2_ ,1061.7_ ,782.5_ ,14_ ,47.71_ 
277.2_ ,97.8_ ,24.5_ ,160.7_ ,11.2_ ,1061.7_ ,782.5_ ,28_ ,63.14_ 
277.2_ ,97.8_ ,24.5_ ,160.7_ ,11.2_ ,1061.7_ ,782.5_ ,56_ ,66.82_ 
277.2_ ,97.8_ ,24.5_ ,160.7_ ,11.2_ ,1061.7_ ,782.5_ ,100_ ,66.95_ 
218.2_ ,54.6_ ,123.8_ ,140.8_ ,11.9_ ,1075.7_ ,792.7_ ,3_ ,27.42_ 
218.2_ ,54.6_ ,123.8_ ,140.8_ ,11.9_ ,1075.7_ ,792.7_ ,14_ ,35.96_ 
218.2_ ,54.6_ ,123.8_ ,140.8_ ,11.9_ ,1075.7_ ,792.7_ ,28_ ,55.51_ 
218.2_ ,54.6_ ,123.8_ ,140.8_ ,11.9_ ,1075.7_ ,792.7_ ,56_ ,61.99_ 
218.2_ ,54.6_ ,123.8_ ,140.8_ ,11.9_ ,1075.7_ ,792.7_ ,100_ ,63.53_ 
214.9_ ,53.8_ ,121.9_ ,155.6_ ,9.6_ ,1014.3_ ,780.6_ ,3_ ,18.02_ 
214.9_ ,53.8_ ,121.9_ ,155.6_ ,9.6_ ,1014.3_ ,780.6_ ,14_ ,38.60_ 
214.9_ ,53.8_ ,121.9_ ,155.6_ ,9.6_ ,1014.3_ ,780.6_ ,28_ ,52.20_ 
214.9_ ,53.8_ ,121.9_ ,155.6_ ,9.6_ ,1014.3_ ,780.6_ ,56_ ,53.96_ 
214.9_ ,53.8_ ,121.9_ ,155.6_ ,9.6_ ,1014.3_ ,780.6_ ,100_ ,56.63_ 
218.8_ ,0.0_ ,124.1_ ,158.5_ ,11.3_ ,1078.7_ ,794.9_ ,3_ ,15.34_ 
218.8_ ,0.0_ ,124.1_ ,158.5_ ,11.3_ ,1078.7_ ,794.9_ ,14_ ,26.05_ 
218.8_ ,0.0_ ,124.1_ ,158.5_ ,11.3_ ,1078.7_ ,794.9_ ,28_ ,30.22_ 
218.8_ ,0.0_ ,124.1_ ,158.5_ ,11.3_ ,1078.7_ ,794.9_ ,56_ ,37.27_ 
218.8_ ,0.0_ ,124.1_ ,158.5_ ,11.3_ ,1078.7_ ,794.9_ ,100_ ,46.23_ 
376.0_ ,0.0_ ,0.0_ ,214.6_ ,0.0_ ,1003.5_ ,762.4_ ,3_ ,16.28_ 
376.0_ ,0.0_ ,0.0_ ,214.6_ ,0.0_ ,1003.5_ ,762.4_ ,14_ ,25.62_ 
376.0_ ,0.0_ ,0.0_ ,214.6_ ,0.0_ ,1003.5_ ,762.4_ ,28_ ,31.97_ 
376.0_ ,0.0_ ,0.0_ ,214.6_ ,0.0_ ,1003.5_ ,762.4_ ,56_ ,36.30_ 
376.0_ ,0.0_ ,0.0_ ,214.6_ ,0.0_ ,1003.5_ ,762.4_ ,100_ ,43.06_ 
500.0_ ,0.0_ ,0.0_ ,140.0_ ,4.0_ ,966.0_ ,853.0_ ,28_ ,67.57_ 
475.0_ ,0.0_ ,59.0_ ,142.0_ ,1.9_ ,1098.0_ ,641.0_ ,28_ ,57.23_ 
315.0_ ,137.0_ ,0.0_ ,145.0_ ,5.9_ ,1130.0_ ,745.0_ ,28_ ,81.75_ 
505.0_ ,0.0_ ,60.0_ ,195.0_ ,0.0_ ,1030.0_ ,630.0_ ,28_ ,64.02_ 
451.0_ ,0.0_ ,0.0_ ,165.0_ ,11.2_ ,1030.0_ ,745.0_ ,28_ ,78.80_ 
516.0_ ,0.0_ ,0.0_ ,162.0_ ,8.2_ ,801.0_ ,802.0_ ,28_ ,41.37_ 
520.0_ ,0.0_ ,0.0_ ,170.0_ ,5.2_ ,855.0_ ,855.0_ ,28_ ,60.28_ 
528.0_ ,0.0_ ,0.0_ ,185.0_ ,6.9_ ,920.0_ ,720.0_ ,28_ ,56.83_ 
520.0_ ,0.0_ ,0.0_ ,175.0_ ,5.2_ ,870.0_ ,805.0_ ,28_ ,51.02_ 
385.0_ ,0.0_ ,136.0_ ,158.0_ ,20.0_ ,903.0_ ,768.0_ ,28_ ,55.55_ 
500.1_ ,0.0_ ,0.0_ ,200.0_ ,3.0_ ,1124.4_ ,613.2_ ,28_ ,44.13_ 
450.1_ ,50.0_ ,0.0_ ,200.0_ ,3.0_ ,1124.4_ ,613.2_ ,28_ ,39.38_ 
397.0_ ,17.2_ ,158.0_ ,167.0_ ,20.8_ ,967.0_ ,633.0_ ,28_ ,55.65_ 
333.0_ ,17.5_ ,163.0_ ,167.0_ ,17.9_ ,996.0_ ,652.0_ ,28_ ,47.28_ 
334.0_ ,17.6_ ,158.0_ ,189.0_ ,15.3_ ,967.0_ ,633.0_ ,28_ ,44.33_ 
405.0_ ,0.0_ ,0.0_ ,175.0_ ,0.0_ ,1120.0_ ,695.0_ ,28_ ,52.30_ 
200.0_ ,200.0_ ,0.0_ ,190.0_ ,0.0_ ,1145.0_ ,660.0_ ,28_ ,49.25_ 
516.0_ ,0.0_ ,0.0_ ,162.0_ ,8.3_ ,801.0_ ,802.0_ ,28_ ,41.37_ 
145.0_ ,116.0_ ,119.0_ ,184.0_ ,5.7_ ,833.0_ ,880.0_ ,28_ ,29.16_ 
160.0_ ,128.0_ ,122.0_ ,182.0_ ,6.4_ ,824.0_ ,879.0_ ,28_ ,39.40_ 
234.0_ ,156.0_ ,0.0_ ,189.0_ ,5.8_ ,981.0_ ,760.0_ ,28_ ,39.30_ 
250.0_ ,180.0_ ,95.0_ ,159.0_ ,9.4_ ,860.0_ ,800.0_ ,28_ ,67.87_ 
475.0_ ,0.0_ ,0.0_ ,162.0_ ,9.5_ ,1044.0_ ,662.0_ ,28_ ,58.52_ 
285.0_ ,190.0_ ,0.0_ ,163.0_ ,7.6_ ,1031.0_ ,685.0_ ,28_ ,53.58_ 
356.0_ ,119.0_ ,0.0_ ,160.0_ ,9.0_ ,1061.0_ ,657.0_ ,28_ ,59.00_ 
275.0_ ,180.0_ ,120.0_ ,162.0_ ,10.3_ ,830.0_ ,765.0_ ,28_ ,76.24_ 
500.0_ ,0.0_ ,0.0_ ,151.0_ ,9.0_ ,1033.0_ ,655.0_ ,28_ ,69.84_ 
165.0_ ,0.0_ ,143.6_ ,163.8_ ,0.0_ ,1005.6_ ,900.9_ ,3_ ,14.40_ 
165.0_ ,128.5_ ,132.1_ ,175.1_ ,8.1_ ,1005.8_ ,746.6_ ,3_ ,19.42_ 
178.0_ ,129.8_ ,118.6_ ,179.9_ ,3.6_ ,1007.3_ ,746.8_ ,3_ ,20.73_ 
167.3_ ,129.9_ ,128.6_ ,175.5_ ,7.8_ ,1006.3_ ,746.6_ ,3_ ,14.94_ 
172.4_ ,13.6_ ,172.4_ ,156.8_ ,4.1_ ,1006.3_ ,856.4_ ,3_ ,21.29_ 
173.5_ ,50.0_ ,173.5_ ,164.8_ ,6.5_ ,1006.2_ ,793.5_ ,3_ ,23.08_ 
167.0_ ,75.4_ ,167.0_ ,164.0_ ,7.9_ ,1007.3_ ,770.1_ ,3_ ,15.52_ 
173.8_ ,93.4_ ,159.9_ ,172.3_ ,9.7_ ,1007.2_ ,746.6_ ,3_ ,15.82_ 
190.3_ ,0.0_ ,125.2_ ,166.6_ ,9.9_ ,1079.0_ ,798.9_ ,3_ ,12.55_ 
250.0_ ,0.0_ ,95.7_ ,191.8_ ,5.3_ ,948.9_ ,857.2_ ,3_ ,8.49_ 
213.5_ ,0.0_ ,174.2_ ,159.2_ ,11.7_ ,1043.6_ ,771.9_ ,3_ ,15.61_ 
194.7_ ,0.0_ ,100.5_ ,170.2_ ,7.5_ ,998.0_ ,901.8_ ,3_ ,12.18_ 
251.4_ ,0.0_ ,118.3_ ,192.9_ ,5.8_ ,1043.6_ ,754.3_ ,3_ ,11.98_ 
165.0_ ,0.0_ ,143.6_ ,163.8_ ,0.0_ ,1005.6_ ,900.9_ ,14_ ,16.88_ 
165.0_ ,128.5_ ,132.1_ ,175.1_ ,8.1_ ,1005.8_ ,746.6_ ,14_ ,33.09_ 
178.0_ ,129.8_ ,118.6_ ,179.9_ ,3.6_ ,1007.3_ ,746.8_ ,14_ ,34.24_ 
167.3_ ,129.9_ ,128.6_ ,175.5_ ,7.8_ ,1006.3_ ,746.6_ ,14_ ,31.81_ 
172.4_ ,13.6_ ,172.4_ ,156.8_ ,4.1_ ,1006.3_ ,856.4_ ,14_ ,29.75_ 
173.5_ ,50.0_ ,173.5_ ,164.8_ ,6.5_ ,1006.2_ ,793.5_ ,14_ ,33.01_ 
167.0_ ,75.4_ ,167.0_ ,164.0_ ,7.9_ ,1007.3_ ,770.1_ ,14_ ,32.90_ 
173.8_ ,93.4_ ,159.9_ ,172.3_ ,9.7_ ,1007.2_ ,746.6_ ,14_ ,29.55_ 
190.3_ ,0.0_ ,125.2_ ,166.6_ ,9.9_ ,1079.0_ ,798.9_ ,14_ ,19.42_ 
250.0_ ,0.0_ ,95.7_ ,191.8_ ,5.3_ ,948.9_ ,857.2_ ,14_ ,24.66_ 
213.5_ ,0.0_ ,174.2_ ,159.2_ ,11.7_ ,1043.6_ ,771.9_ ,14_ ,29.59_ 
194.7_ ,0.0_ ,100.5_ ,170.2_ ,7.5_ ,998.0_ ,901.8_ ,14_ ,24.28_ 
251.4_ ,0.0_ ,118.3_ ,192.9_ ,5.8_ ,1043.6_ ,754.3_ ,14_ ,20.73_ 
165.0_ ,0.0_ ,143.6_ ,163.8_ ,0.0_ ,1005.6_ ,900.9_ ,28_ ,26.20_ 
165.0_ ,128.5_ ,132.1_ ,175.1_ ,8.1_ ,1005.8_ ,746.6_ ,28_ ,46.39_ 
178.0_ ,129.8_ ,118.6_ ,179.9_ ,3.6_ ,1007.3_ ,746.8_ ,28_ ,39.16_ 
167.3_ ,129.9_ ,128.6_ ,175.5_ ,7.8_ ,1006.3_ ,746.6_ ,28_ ,41.20_ 
172.4_ ,13.6_ ,172.4_ ,156.8_ ,4.1_ ,1006.3_ ,856.4_ ,28_ ,33.69_ 
173.5_ ,50.0_ ,173.5_ ,164.8_ ,6.5_ ,1006.2_ ,793.5_ ,28_ ,38.20_ 
167.0_ ,75.4_ ,167.0_ ,164.0_ ,7.9_ ,1007.3_ ,770.1_ ,28_ ,41.41_ 
173.8_ ,93.4_ ,159.9_ ,172.3_ ,9.7_ ,1007.2_ ,746.6_ ,28_ ,37.81_ 
190.3_ ,0.0_ ,125.2_ ,166.6_ ,9.9_ ,1079.0_ ,798.9_ ,28_ ,24.85_ 
250.0_ ,0.0_ ,95.7_ ,191.8_ ,5.3_ ,948.9_ ,857.2_ ,28_ ,27.22_ 
213.5_ ,0.0_ ,174.2_ ,159.2_ ,11.7_ ,1043.6_ ,771.9_ ,28_ ,44.64_ 
194.7_ ,0.0_ ,100.5_ ,170.2_ ,7.5_ ,998.0_ ,901.8_ ,28_ ,37.27_ 
251.4_ ,0.0_ ,118.3_ ,192.9_ ,5.8_ ,1043.6_ ,754.3_ ,28_ ,33.27_ 
