,Producto,Categoria,Precio_Unitario,Inventario_Disponible,Unidades_Vendidas,Marca,Oferta,Peso,Resolución,Conexión
1156,Impresora,Impresoras,406.1866368809958,24,11,MarcaA,True,4.96495860681275,N/A,USB
1157,Router,Redes,1345.131986958607,13,10,MarcaB,False,0.7430100389742036,N/A,WiFi
1158,Cámara Web,Accesorios,1333.3965860688015,20,11,MarcaC,True,2.7286536823496776,720p,USB
1159,Auriculares,Audio,238.02146794492688,30,10,MarcaA,True,1.9799847262096262,N/A,3.5mm
1160,Laptop,Computadoras,1273.5617757341915,42,2,MarcaA,True,2.2715593471908995,Full HD,WiFi
1161,Tablet,Computadoras,367.5308277154787,29,6,MarcaB,True,2.5323563855583884,HD,WiFi
1162,Monitor,Monitores,635.6545105368845,8,14,MarcaC,False,3.828667804030354,4K,HDMI
1163,Teclado,Accesorios,1166.5607331790902,45,2,MarcaA,False,3.1608486642702935,N/A,USB
1164,Mouse,Accesorios,408.9878648628007,49,10,MarcaB,False,4.8254048969755114,N/A,USB
1165,Disco Duro,Almacenamiento,1263.357131354781,45,1,MarcaC,False,1.9974406965779032,1TB,SATA
1166,Impresora,Impresoras,1281.7744313450644,42,8,MarcaA,True,2.9367683711723425,N/A,USB
1167,Router,Redes,859.7080538890871,23,10,MarcaB,False,4.159978389201637,N/A,WiFi
1168,Cámara Web,Accesorios,208.30163323188364,18,14,MarcaC,True,2.1786278764715608,720p,USB
1169,Auriculares,Audio,573.1495731273866,25,10,MarcaA,False,2.593846402749093,N/A,3.5mm
1170,Laptop,Computadoras,1002.0049938884649,19,13,MarcaA,True,3.5823854870835206,Full HD,WiFi
1171,Tablet,Computadoras,1475.5420314356504,7,1,MarcaB,True,4.373348983719379,HD,WiFi
1172,Monitor,Monitores,1021.3575851216689,41,10,MarcaC,True,2.3705666169072295,4K,HDMI
1173,Teclado,Accesorios,537.7446553834077,20,14,MarcaA,False,2.89377712466033,N/A,USB
1174,Mouse,Accesorios,1024.2074140294949,18,6,MarcaB,False,4.888050283808775,N/A,USB
1175,Disco Duro,Almacenamiento,901.9809936306121,13,12,MarcaC,False,0.691111228761518,1TB,SATA
1176,Impresora,Impresoras,1213.7990136964868,11,14,MarcaA,True,2.5170292249679505,N/A,USB
1177,Router,Redes,339.0748304750459,18,1,MarcaB,False,3.361918330081402,N/A,WiFi
1178,Cámara Web,Accesorios,1189.3362732526364,10,8,MarcaC,True,0.5379235590295632,720p,USB
1179,Auriculares,Audio,903.6465522789433,25,14,MarcaA,False,3.1855392570488656,N/A,3.5mm
1180,Laptop,Computadoras,1451.889605016693,19,5,MarcaA,False,0.7528997959835404,Full HD,WiFi
1181,Tablet,Computadoras,644.4338158502919,12,3,MarcaB,False,4.359012784916825,HD,WiFi
1182,Monitor,Monitores,1022.4084610741326,38,5,MarcaC,False,4.131887429788547,4K,HDMI
1183,Teclado,Accesorios,1411.6365371630227,44,13,MarcaA,False,0.6451481155936831,N/A,USB
1184,Mouse,Accesorios,333.262646387883,5,1,MarcaB,True,0.7196181105081925,N/A,USB
1185,Disco Duro,Almacenamiento,1418.3970334073865,36,1,MarcaC,False,3.891262692027211,1TB,SATA
1186,Impresora,Impresoras,1094.2514389910575,9,12,MarcaA,False,2.1629520166023966,N/A,USB
1187,Router,Redes,288.18817683672347,34,14,MarcaB,False,3.0876160457224615,N/A,WiFi
1188,Cámara Web,Accesorios,591.2526370308611,26,4,MarcaC,True,1.7164772139442277,720p,USB
1189,Auriculares,Audio,1120.6237152388662,24,9,MarcaA,False,1.2783599424684486,N/A,3.5mm
1190,Laptop,Computadoras,287.5557819094032,20,14,MarcaA,False,1.8323470289640267,Full HD,WiFi
1191,Tablet,Computadoras,956.8215982291553,11,9,MarcaB,True,1.6102116510079463,HD,WiFi
1192,Monitor,Monitores,649.6479740388438,11,1,MarcaC,False,2.5173834720770047,4K,HDMI
1193,Teclado,Accesorios,1007.1901730977203,6,3,MarcaA,True,3.860042743794588,N/A,USB
1194,Mouse,Accesorios,259.4646439562667,18,13,MarcaB,True,2.993582335671305,N/A,USB
1195,Disco Duro,Almacenamiento,1332.9978479980891,35,12,MarcaC,False,3.241302385728733,1TB,SATA
1196,Impresora,Impresoras,1465.535659930616,45,4,MarcaA,True,2.615353684061379,N/A,USB
1197,Router,Redes,1459.541211871399,18,2,MarcaB,False,1.9613013809126731,N/A,WiFi
1198,Cámara Web,Accesorios,1174.547381265802,9,7,MarcaC,True,1.1457897141221958,720p,USB
1199,Auriculares,Audio,369.11211216982156,15,3,MarcaA,False,2.0955445660130043,N/A,3.5mm
1200,Laptop,Computadoras,1185.7421547077292,44,1,MarcaA,True,3.493393772962393,Full HD,WiFi
1201,Tablet,Computadoras,231.96299139644196,9,1,MarcaB,True,3.801998403157192,HD,WiFi
1202,Monitor,Monitores,228.76061698769644,33,3,MarcaC,True,2.611316947586961,4K,HDMI
1203,Teclado,Accesorios,620.6932848944036,15,6,MarcaA,False,3.4024877356237058,N/A,USB
1204,Mouse,Accesorios,835.2361475260655,9,4,MarcaB,True,1.4474348684791352,N/A,USB
1205,Disco Duro,Almacenamiento,1201.529643150131,36,1,MarcaC,False,4.370298443257804,1TB,SATA
1206,Impresora,Impresoras,1088.2839895884567,40,7,MarcaA,False,4.396714028043911,N/A,USB
1207,Router,Redes,779.6735182897728,19,2,MarcaB,True,1.941475672726364,N/A,WiFi
1208,Cámara Web,Accesorios,555.7146661661657,23,12,MarcaC,False,2.9647050768271725,720p,USB
1209,Auriculares,Audio,1496.2618502050245,26,5,MarcaA,False,3.2299791278684866,N/A,3.5mm
1210,Laptop,Computadoras,754.0356929067648,38,8,MarcaA,True,2.6259351745308797,Full HD,WiFi
1211,Tablet,Computadoras,786.8031316285782,21,7,MarcaB,False,4.6001396910100425,HD,WiFi
1212,Monitor,Monitores,412.71096754916994,16,11,MarcaC,False,3.8287262605693195,4K,HDMI
1213,Teclado,Accesorios,1233.2524133749082,29,12,MarcaA,True,3.5262972167392967,N/A,USB
1214,Mouse,Accesorios,1101.7868935159354,21,8,MarcaB,True,2.8404194969106826,N/A,USB
1215,Disco Duro,Almacenamiento,487.0004966253885,14,13,MarcaC,True,0.8818129847243406,1TB,SATA
1216,Impresora,Impresoras,307.09535930059553,32,10,MarcaA,True,0.9851961992904346,N/A,USB
1217,Router,Redes,1084.649092697127,22,14,MarcaB,False,1.8455398800980864,N/A,WiFi
1218,Cámara Web,Accesorios,1050.8645785654758,22,11,MarcaC,False,1.4518502076601103,720p,USB
1219,Auriculares,Audio,555.2373850976721,49,6,MarcaA,False,4.786389373585974,N/A,3.5mm
1220,Laptop,Computadoras,1436.1226309255335,36,7,MarcaA,True,2.344156333932794,Full HD,WiFi
1221,Tablet,Computadoras,396.3752593151703,18,9,MarcaB,False,4.444724473964383,HD,WiFi
1222,Monitor,Monitores,762.0352413553825,20,6,MarcaC,True,4.181358576498042,4K,HDMI
1223,Teclado,Accesorios,1426.7006962178784,22,9,MarcaA,False,4.156566227316928,N/A,USB
1224,Mouse,Accesorios,745.645512003959,20,13,MarcaB,True,1.4706838631608319,N/A,USB
1225,Disco Duro,Almacenamiento,1030.0837319633113,21,12,MarcaC,False,2.5129481585036695,1TB,SATA
1226,Impresora,Impresoras,716.8727173516326,11,2,MarcaA,False,1.9307839624121277,N/A,USB
1227,Router,Redes,556.479763053271,16,13,MarcaB,True,4.8668495172751385,N/A,WiFi
1228,Cámara Web,Accesorios,1479.1709423477766,38,2,MarcaC,False,4.4453493558305155,720p,USB
1229,Auriculares,Audio,732.1342082095559,14,14,MarcaA,False,1.6246564743789187,N/A,3.5mm
1230,Laptop,Computadoras,1362.3289647828747,9,2,MarcaA,False,1.910841623645727,Full HD,WiFi
1231,Tablet,Computadoras,498.94098765841204,25,6,MarcaB,False,2.8800915691002102,HD,WiFi
1232,Monitor,Monitores,477.03611523260827,7,2,MarcaC,True,1.753726033091222,4K,HDMI
1233,Teclado,Accesorios,240.47430774986478,23,3,MarcaA,False,4.2103848496411,N/A,USB
1234,Mouse,Accesorios,1047.1668729886505,49,13,MarcaB,True,4.18654075057165,N/A,USB
1235,Disco Duro,Almacenamiento,679.0842468408895,48,8,MarcaC,True,3.759531970231694,1TB,SATA
1236,Impresora,Impresoras,1323.6657247915282,39,8,MarcaA,True,3.601895921402194,N/A,USB
1237,Router,Redes,815.1728786990243,10,11,MarcaB,False,2.9628567837272364,N/A,WiFi
1238,Cámara Web,Accesorios,1458.6514562891382,18,12,MarcaC,True,2.0620051569874276,720p,USB
1239,Auriculares,Audio,441.1831704140575,8,4,MarcaA,True,4.266223037479591,N/A,3.5mm
1240,Laptop,Computadoras,1329.210118342294,49,9,MarcaA,True,4.364744770632976,Full HD,WiFi
1241,Tablet,Computadoras,1209.5759086292642,22,8,MarcaB,False,0.7227926098887534,HD,WiFi
1242,Monitor,Monitores,1202.1983980372675,33,1,MarcaC,False,2.2937873626583567,4K,HDMI
1243,Teclado,Accesorios,1298.218196551954,39,8,MarcaA,True,0.6198241120260103,N/A,USB
1244,Mouse,Accesorios,1189.3311882258986,42,1,MarcaB,True,4.277648276148356,N/A,USB
1245,Disco Duro,Almacenamiento,1014.08641812084,20,4,MarcaC,False,1.2969196093491884,1TB,SATA
1246,Impresora,Impresoras,370.6183409871038,24,10,MarcaA,True,3.5324004416743975,N/A,USB
1247,Router,Redes,242.2840333386275,28,6,MarcaB,False,2.108191179624665,N/A,WiFi
1248,Cámara Web,Accesorios,1397.1022021603928,39,7,MarcaC,True,4.172294539544742,720p,USB
1249,Auriculares,Audio,1001.6454088769594,48,10,MarcaA,False,2.79359105114194,N/A,3.5mm
1250,Laptop,Computadoras,1235.4984782690292,23,13,MarcaA,False,1.9598086600320057,Full HD,WiFi
1251,Tablet,Computadoras,825.979056966315,8,4,MarcaB,False,1.9574180026283319,HD,WiFi
1252,Monitor,Monitores,352.5006456511128,37,8,MarcaC,True,1.9711725908971005,4K,HDMI
1253,Teclado,Accesorios,362.7415298633156,6,8,MarcaA,True,4.048606476136864,N/A,USB
1254,Mouse,Accesorios,1091.2348733976628,17,14,MarcaB,False,3.7000201947200306,N/A,USB
1255,Disco Duro,Almacenamiento,759.3976633693015,49,14,MarcaC,False,1.9364634830593985,1TB,SATA
1256,Impresora,Impresoras,460.68214471043774,34,14,MarcaA,True,2.7059364002462134,N/A,USB
1257,Router,Redes,839.072910763868,38,9,MarcaB,False,0.8426902348819643,N/A,WiFi
1258,Cámara Web,Accesorios,283.47161819767433,34,14,MarcaC,True,4.223751207617404,720p,USB
1259,Auriculares,Audio,956.5628224887184,28,6,MarcaA,False,1.6967966424968568,N/A,3.5mm
1260,Laptop,Computadoras,549.691425765627,48,4,MarcaA,False,4.501513138274135,Full HD,WiFi
1261,Tablet,Computadoras,1236.8268308283446,37,2,MarcaB,True,3.1855851185581674,HD,WiFi
1262,Monitor,Monitores,603.4705466006459,45,7,MarcaC,True,3.0551907299721908,4K,HDMI
1263,Teclado,Accesorios,791.7861938063415,14,10,MarcaA,False,1.232234340413997,N/A,USB
1264,Mouse,Accesorios,215.10670188053084,22,3,MarcaB,True,0.812909118155074,N/A,USB
1265,Disco Duro,Almacenamiento,294.18095413292656,23,11,MarcaC,False,2.9867746144182203,1TB,SATA
1266,Impresora,Impresoras,710.2416233286903,11,13,MarcaA,True,2.605951054648508,N/A,USB
1267,Router,Redes,823.9204851322605,23,12,MarcaB,False,1.0385736510976817,N/A,WiFi
1268,Cámara Web,Accesorios,980.0267125550948,28,3,MarcaC,True,4.26014475133184,720p,USB
1269,Auriculares,Audio,579.1613523220942,19,3,MarcaA,True,2.3775805362907176,N/A,3.5mm
1270,Laptop,Computadoras,1103.4764519645053,45,4,MarcaA,False,1.6720601017589913,Full HD,WiFi
1271,Tablet,Computadoras,1318.159116345966,46,2,MarcaB,False,4.047224419158748,HD,WiFi
1272,Monitor,Monitores,1213.8062855613548,27,13,MarcaC,False,4.608788705496217,4K,HDMI
1273,Teclado,Accesorios,251.5044729528643,8,13,MarcaA,False,1.876832164350681,N/A,USB
1274,Mouse,Accesorios,824.6590314351777,42,5,MarcaB,False,3.9917744843074123,N/A,USB
1275,Disco Duro,Almacenamiento,336.40923194362733,8,3,MarcaC,False,3.4363384565383104,1TB,SATA
1276,Impresora,Impresoras,514.6585206212858,9,10,MarcaA,True,4.953775026893413,N/A,USB
1277,Router,Redes,1482.6613712472904,45,5,MarcaB,False,1.417967183350524,N/A,WiFi
1278,Cámara Web,Accesorios,385.2442057719672,48,12,MarcaC,False,4.823055475279045,720p,USB
1279,Auriculares,Audio,848.5545994867629,27,13,MarcaA,False,1.9187242551945034,N/A,3.5mm
1280,Laptop,Computadoras,1003.6024546135549,44,7,MarcaA,False,2.353794341319375,Full HD,WiFi
1281,Tablet,Computadoras,1113.2044617073352,41,9,MarcaB,True,2.114716163654907,HD,WiFi
1282,Monitor,Monitores,927.5432885329883,15,2,MarcaC,False,1.7080281368976915,4K,HDMI
1283,Teclado,Accesorios,212.70210164493875,15,9,MarcaA,False,3.619501616436321,N/A,USB
1284,Mouse,Accesorios,624.3997007171895,17,10,MarcaB,True,3.1511539432663005,N/A,USB
1285,Disco Duro,Almacenamiento,873.0251364001249,18,6,MarcaC,True,1.875613755614434,1TB,SATA
1286,Impresora,Impresoras,314.22644888828336,12,12,MarcaA,False,1.0949560543322434,N/A,USB
1287,Router,Redes,655.815010571935,29,6,MarcaB,True,1.9281903697994305,N/A,WiFi
1288,Cámara Web,Accesorios,243.16404142877653,22,11,MarcaC,False,2.2155409025773243,720p,USB
1289,Auriculares,Audio,302.152046301527,48,3,MarcaA,True,2.2129404940448154,N/A,3.5mm
1290,Laptop,Computadoras,716.0002590620749,48,14,MarcaA,True,2.107667901931657,Full HD,WiFi
1291,Tablet,Computadoras,372.53048025597843,22,10,MarcaB,True,0.719251278004116,HD,WiFi
1292,Monitor,Monitores,937.8031027400256,14,13,MarcaC,True,2.5881489855568263,4K,HDMI
1293,Teclado,Accesorios,1096.3044598784454,11,9,MarcaA,True,4.262936437603882,N/A,USB
1294,Mouse,Accesorios,1240.7627088418078,48,4,MarcaB,False,1.3116483133633332,N/A,USB
1295,Disco Duro,Almacenamiento,460.19531751825315,18,5,MarcaC,False,1.1554580454235372,1TB,SATA
1296,Impresora,Impresoras,417.72735693679067,19,3,MarcaA,True,2.6233297486016505,N/A,USB
1297,Router,Redes,335.93819243472035,20,5,MarcaB,True,2.1677135546750517,N/A,WiFi
1298,Cámara Web,Accesorios,1027.3593244067279,6,8,MarcaC,True,3.025762883210979,720p,USB
1299,Auriculares,Audio,1118.4184444329715,34,8,MarcaA,False,4.7618343934834515,N/A,3.5mm
1300,Laptop,Computadoras,241.06198827333463,34,14,MarcaA,False,3.923988126497621,Full HD,WiFi
1301,Tablet,Computadoras,1417.0759201167969,22,8,MarcaB,False,3.59176168931584,HD,WiFi
1302,Monitor,Monitores,267.56266874691414,35,6,MarcaC,True,2.371716249771554,4K,HDMI
1303,Teclado,Accesorios,903.6852358913916,48,1,MarcaA,False,1.793119263717357,N/A,USB
1304,Mouse,Accesorios,1121.7786752861912,17,11,MarcaB,True,2.9311884648314637,N/A,USB
1305,Disco Duro,Almacenamiento,1332.2598608699113,24,10,MarcaC,True,4.484495874475771,1TB,SATA
1306,Impresora,Impresoras,1128.3130117721562,39,12,MarcaA,True,4.445341297301172,N/A,USB
1307,Router,Redes,1242.2465079907295,27,6,MarcaB,True,2.504817269371477,N/A,WiFi
1308,Cámara Web,Accesorios,641.2852503056479,46,12,MarcaC,False,1.6079915895644146,720p,USB
1309,Auriculares,Audio,1259.2726478704658,37,11,MarcaA,False,1.5140500261289405,N/A,3.5mm
1310,Laptop,Computadoras,304.1493003000777,42,10,MarcaA,True,0.6529478754171896,Full HD,WiFi
1311,Tablet,Computadoras,1363.261652878686,39,7,MarcaB,True,4.291989108331759,HD,WiFi
1312,Monitor,Monitores,911.8700889998571,40,14,MarcaC,True,1.6917711522497958,4K,HDMI
1313,Teclado,Accesorios,1262.4871009512417,24,9,MarcaA,True,2.11549613452775,N/A,USB
1314,Mouse,Accesorios,788.0137698737902,7,12,MarcaB,True,4.14147263420329,N/A,USB
1315,Disco Duro,Almacenamiento,1036.6510037554824,12,8,MarcaC,True,1.0401082329780968,1TB,SATA
1316,Impresora,Impresoras,884.3234592169472,44,11,MarcaA,False,2.5755533546643474,N/A,USB
1317,Router,Redes,1151.0663782819315,36,12,MarcaB,False,1.050536209645998,N/A,WiFi
1318,Cámara Web,Accesorios,306.11897663976646,33,8,MarcaC,False,2.4883185628009605,720p,USB
1319,Auriculares,Audio,278.4577091877329,11,7,MarcaA,True,0.7121280813292975,N/A,3.5mm
1320,Laptop,Computadoras,521.2342042131904,6,2,MarcaA,False,2.829302717060548,Full HD,WiFi
1321,Tablet,Computadoras,407.40808414714485,25,1,MarcaB,False,4.080693735821249,HD,WiFi
1322,Monitor,Monitores,1333.3186365698623,10,2,MarcaC,False,3.543335036560177,4K,HDMI
1323,Teclado,Accesorios,484.9781835654576,32,6,MarcaA,False,2.791260543098302,N/A,USB
1324,Mouse,Accesorios,1468.6248325648708,46,13,MarcaB,False,4.229414204671199,N/A,USB
1325,Disco Duro,Almacenamiento,637.9645293024389,40,2,MarcaC,True,1.5250458873163686,1TB,SATA
1326,Impresora,Impresoras,436.7532903953091,36,10,MarcaA,True,4.238583282429254,N/A,USB
1327,Router,Redes,1226.608059285223,49,4,MarcaB,True,1.7436356581467924,N/A,WiFi
1328,Cámara Web,Accesorios,1056.3201081511388,46,10,MarcaC,False,2.131188535403428,720p,USB
1329,Auriculares,Audio,847.6544313890806,13,3,MarcaA,True,1.0779359074722161,N/A,3.5mm
1330,Laptop,Computadoras,921.9726162189206,15,6,MarcaA,False,0.9578964036299848,Full HD,WiFi
1331,Tablet,Computadoras,1134.9623117539431,27,12,MarcaB,True,4.69450183453511,HD,WiFi
1332,Monitor,Monitores,496.99116373068836,15,12,MarcaC,False,1.354902112332398,4K,HDMI
1333,Teclado,Accesorios,1495.2340908737644,6,13,MarcaA,False,1.9998326977787644,N/A,USB
1334,Mouse,Accesorios,1467.231110790818,7,14,MarcaB,True,2.8811826452746994,N/A,USB
1335,Disco Duro,Almacenamiento,1045.423392251018,15,8,MarcaC,True,2.0654020967140783,1TB,SATA
1336,Impresora,Impresoras,459.4051862078887,39,11,MarcaA,False,4.415599775204505,N/A,USB
1337,Router,Redes,1084.2967151606786,19,6,MarcaB,False,4.553216435510476,N/A,WiFi
1338,Cámara Web,Accesorios,293.8579316729286,47,2,MarcaC,True,1.9669570582708427,720p,USB
1339,Auriculares,Audio,239.8482528675479,15,5,MarcaA,True,0.9141246327502106,N/A,3.5mm
1340,Laptop,Computadoras,534.9877550645779,35,11,MarcaA,False,1.4457120530322967,Full HD,WiFi
1341,Tablet,Computadoras,801.4098437611112,32,13,MarcaB,True,2.6347681433077876,HD,WiFi
1342,Monitor,Monitores,1328.7542570308947,32,6,MarcaC,True,1.7981646900517751,4K,HDMI
1343,Teclado,Accesorios,1145.3197906962005,36,9,MarcaA,True,2.5406250688919525,N/A,USB
1344,Mouse,Accesorios,1165.5184775599755,29,6,MarcaB,True,3.9141657487439265,N/A,USB
1345,Disco Duro,Almacenamiento,753.141334782498,24,10,MarcaC,False,2.3928729519905985,1TB,SATA
1346,Impresora,Impresoras,649.7154903110518,32,5,MarcaA,False,1.3864885529357238,N/A,USB
1347,Router,Redes,682.3503918799836,29,1,MarcaB,False,2.1108543826321955,N/A,WiFi
1348,Cámara Web,Accesorios,1483.9444328568752,15,10,MarcaC,True,3.843415481668399,720p,USB
1349,Auriculares,Audio,252.14194883622724,23,5,MarcaA,False,2.4082795409620004,N/A,3.5mm
1350,Laptop,Computadoras,1327.1409449591831,32,5,MarcaA,False,1.6229203383696738,Full HD,WiFi
1351,Tablet,Computadoras,952.2780311441114,5,6,MarcaB,True,2.423352376432993,HD,WiFi
1352,Monitor,Monitores,770.2000449464676,9,7,MarcaC,True,2.546630094571969,4K,HDMI
1353,Teclado,Accesorios,1142.8349585396775,14,13,MarcaA,False,1.833697421496717,N/A,USB
1354,Mouse,Accesorios,832.6696238521137,46,13,MarcaB,False,4.980582901368675,N/A,USB
1355,Disco Duro,Almacenamiento,1335.4502095061587,38,4,MarcaC,True,3.954317084998958,1TB,SATA
1356,Impresora,Impresoras,1370.912423214636,40,7,MarcaA,True,3.616047441293419,N/A,USB
1357,Router,Redes,748.2372049354921,6,5,MarcaB,True,4.346901430565648,N/A,WiFi
1358,Cámara Web,Accesorios,559.876136405567,22,6,MarcaC,True,3.498886380944507,720p,USB
1359,Auriculares,Audio,970.0554271713709,17,4,MarcaA,True,4.059411543748005,N/A,3.5mm
1360,Laptop,Computadoras,1386.0723493016983,9,12,MarcaA,False,2.356365400334253,Full HD,WiFi
1361,Tablet,Computadoras,473.86084570736654,24,8,MarcaB,False,2.751672964591975,HD,WiFi
1362,Monitor,Monitores,1009.8565586325276,6,9,MarcaC,False,0.7114837248628223,4K,HDMI
1363,Teclado,Accesorios,1021.0282861202767,15,2,MarcaA,False,1.7629087613396708,N/A,USB
1364,Mouse,Accesorios,1153.0469291398654,34,12,MarcaB,True,2.156055841549922,N/A,USB
1365,Disco Duro,Almacenamiento,371.03799066543775,36,11,MarcaC,True,3.3146160143869836,1TB,SATA
1366,Impresora,Impresoras,1130.572454086715,36,4,MarcaA,False,2.5889507815725654,N/A,USB
1367,Router,Redes,1381.7422768653332,42,11,MarcaB,True,3.2352721809048473,N/A,WiFi
1368,Cámara Web,Accesorios,433.58804153131456,32,8,MarcaC,False,3.709973005312468,720p,USB
1369,Auriculares,Audio,508.8063224010409,14,8,MarcaA,False,0.6922340045045173,N/A,3.5mm
1370,Laptop,Computadoras,1462.8136222541316,26,9,MarcaA,False,1.6622498615162653,Full HD,WiFi
1371,Tablet,Computadoras,435.2700385223367,21,3,MarcaB,False,1.2690674264512958,HD,WiFi
1372,Monitor,Monitores,1310.700621380453,26,1,MarcaC,False,1.3435480362693706,4K,HDMI
1373,Teclado,Accesorios,839.9612133824452,47,9,MarcaA,False,2.764064280343962,N/A,USB
1374,Mouse,Accesorios,521.4003967241301,23,1,MarcaB,True,3.829904494249664,N/A,USB
1375,Disco Duro,Almacenamiento,1331.974871654265,21,3,MarcaC,True,1.727496652664198,1TB,SATA
1376,Impresora,Impresoras,778.8968315034651,28,3,MarcaA,False,4.210021571610705,N/A,USB
1377,Router,Redes,869.2625601085972,40,9,MarcaB,False,4.5160543274385825,N/A,WiFi
1378,Cámara Web,Accesorios,667.0033802196954,36,1,MarcaC,False,2.0774024240915856,720p,USB
1379,Auriculares,Audio,970.8361068654057,40,7,MarcaA,True,3.5661044252940135,N/A,3.5mm
1380,Laptop,Computadoras,412.5810343605296,32,2,MarcaA,True,1.0267218233829865,Full HD,WiFi
1381,Tablet,Computadoras,708.4059976472889,18,7,MarcaB,True,3.8481272846861985,HD,WiFi
1382,Monitor,Monitores,1460.2360190358738,40,1,MarcaC,False,1.2426074396447846,4K,HDMI
1383,Teclado,Accesorios,535.5734625114658,10,13,MarcaA,True,3.593371116969594,N/A,USB
1384,Mouse,Accesorios,1053.7576639036797,13,10,MarcaB,False,2.39855001557083,N/A,USB
1385,Disco Duro,Almacenamiento,622.7470834921033,25,10,MarcaC,True,4.678053447283434,1TB,SATA
1386,Impresora,Impresoras,1205.515063392581,16,8,MarcaA,False,2.5900726182457876,N/A,USB
1387,Router,Redes,370.1357589338548,34,10,MarcaB,False,0.6390626786041762,N/A,WiFi
1388,Cámara Web,Accesorios,1460.767358602108,35,13,MarcaC,False,2.6630106631065362,720p,USB
1389,Auriculares,Audio,789.926403798731,44,10,MarcaA,True,4.079744347369969,N/A,3.5mm
1390,Laptop,Computadoras,506.86560235040315,8,2,MarcaA,True,3.4118794889908246,Full HD,WiFi
1391,Tablet,Computadoras,295.54577152901646,35,3,MarcaB,True,4.848418384766033,HD,WiFi
1392,Monitor,Monitores,420.68527661380296,31,14,MarcaC,False,4.294726205291356,4K,HDMI
1393,Teclado,Accesorios,875.706133122823,29,8,MarcaA,False,2.8694824830390333,N/A,USB
1394,Mouse,Accesorios,638.1041293606722,9,3,MarcaB,True,1.4293425452242916,N/A,USB
1395,Disco Duro,Almacenamiento,1277.5483756473923,10,1,MarcaC,True,0.5169858341995538,1TB,SATA
1396,Impresora,Impresoras,760.1537807603477,9,9,MarcaA,False,4.912260786506157,N/A,USB
1397,Router,Redes,523.3285543639189,31,8,MarcaB,False,4.7224386423620155,N/A,WiFi
1398,Cámara Web,Accesorios,1002.2884825852391,12,4,MarcaC,True,1.7336479733383678,720p,USB
1399,Auriculares,Audio,1118.8103819510795,13,8,MarcaA,False,3.371971038006772,N/A,3.5mm
1400,Laptop,Computadoras,417.15448027123483,19,14,MarcaA,True,3.7815780329876914,Full HD,WiFi
1401,Tablet,Computadoras,417.904981174813,40,5,MarcaB,True,3.1010605746466773,HD,WiFi
1402,Monitor,Monitores,247.67285501360587,45,3,MarcaC,False,4.29332753677144,4K,HDMI
1403,Teclado,Accesorios,1157.3226195853326,11,1,MarcaA,True,0.8502109179440619,N/A,USB
1404,Mouse,Accesorios,1062.9458859083466,36,13,MarcaB,True,4.534223153675961,N/A,USB
1405,Disco Duro,Almacenamiento,817.020138474758,12,10,MarcaC,False,2.2640855502492143,1TB,SATA
1406,Impresora,Impresoras,1297.4215836599562,19,5,MarcaA,True,2.6631050970865617,N/A,USB
1407,Router,Redes,1247.3711988350692,41,11,MarcaB,True,2.5013014268975247,N/A,WiFi
1408,Cámara Web,Accesorios,960.9606737157778,23,6,MarcaC,False,2.890788003362097,720p,USB
1409,Auriculares,Audio,1328.7526646672363,43,4,MarcaA,False,3.191758123485891,N/A,3.5mm
1410,Laptop,Computadoras,467.5935730477987,10,7,MarcaA,True,3.6965454484063636,Full HD,WiFi
1411,Tablet,Computadoras,345.49550521704623,23,3,MarcaB,True,2.8622315258384186,HD,WiFi
1412,Monitor,Monitores,550.6744949720864,32,7,MarcaC,False,3.5814796520400063,4K,HDMI
1413,Teclado,Accesorios,274.2129129161093,21,14,MarcaA,False,2.0223384961581523,N/A,USB
1414,Mouse,Accesorios,890.5203864013416,46,1,MarcaB,True,4.715063916160941,N/A,USB
1415,Disco Duro,Almacenamiento,1417.58739998345,23,7,MarcaC,True,0.7903895890989612,1TB,SATA
1416,Impresora,Impresoras,251.14660286906255,35,1,MarcaA,True,2.954932738524921,N/A,USB
1417,Router,Redes,358.7428882130348,15,13,MarcaB,True,0.893282792097716,N/A,WiFi
1418,Cámara Web,Accesorios,787.8587367684659,19,11,MarcaC,False,2.4924516621661867,720p,USB
1419,Auriculares,Audio,1414.0375227862764,14,1,MarcaA,False,1.6591206094377344,N/A,3.5mm
1420,Laptop,Computadoras,611.0029364697757,47,2,MarcaA,False,4.716065523121914,Full HD,WiFi
1421,Tablet,Computadoras,859.4052512949102,27,2,MarcaB,False,0.5588392387367453,HD,WiFi
1422,Monitor,Monitores,254.04471676550972,7,4,MarcaC,True,2.260416340136557,4K,HDMI
1423,Teclado,Accesorios,392.8461612507155,7,13,MarcaA,False,4.019192373681296,N/A,USB
1424,Mouse,Accesorios,1482.619159846501,22,1,MarcaB,True,1.3480763569315959,N/A,USB
1425,Disco Duro,Almacenamiento,1454.6543053668593,29,4,MarcaC,True,4.170146920998138,1TB,SATA
1426,Impresora,Impresoras,206.4219752147325,47,2,MarcaA,False,4.368762895211708,N/A,USB
1427,Router,Redes,1437.3553210502107,24,4,MarcaB,False,3.6860134984059654,N/A,WiFi
1428,Cámara Web,Accesorios,1030.8559191601505,33,4,MarcaC,True,1.4408113209177684,720p,USB
1429,Auriculares,Audio,1328.2937828760287,26,9,MarcaA,False,1.7241739546170305,N/A,3.5mm
